"FolderName","Source","Destination","Status"
"2026-07-22_140459","C:\Users\PBA96B\OneDrive - AdventHealth\Documents\DATA LINK LAYER EXTRACTION\output\2026-07-22_140459","C:\Users\PBA96B\OneDrive - AdventHealth\Documents\DATA LINK LAYER EXTRACTION\archive\historical_outputs\2026-07-22_140459","MOVED"
"2026-07-22_144233","C:\Users\PBA96B\OneDrive - AdventHealth\Documents\DATA LINK LAYER EXTRACTION\output\2026-07-22_144233","C:\Users\PBA96B\OneDrive - AdventHealth\Documents\DATA LINK LAYER EXTRACTION\archive\historical_outputs\2026-07-22_144233","MOVED"
"2026-07-22_151549","C:\Users\PBA96B\OneDrive - AdventHealth\Documents\DATA LINK LAYER EXTRACTION\output\2026-07-22_151549","C:\Users\PBA96B\OneDrive - AdventHealth\Documents\DATA LINK LAYER EXTRACTION\archive\historical_outputs\2026-07-22_151549","MOVED"
"2026-07-22_153443","C:\Users\PBA96B\OneDrive - AdventHealth\Documents\DATA LINK LAYER EXTRACTION\output\2026-07-22_153443","C:\Users\PBA96B\OneDrive - AdventHealth\Documents\DATA LINK LAYER EXTRACTION\archive\historical_outputs\2026-07-22_153443","MOVED"
"2026-07-22_153950","C:\Users\PBA96B\OneDrive - AdventHealth\Documents\DATA LINK LAYER EXTRACTION\output\2026-07-22_153950","C:\Users\PBA96B\OneDrive - AdventHealth\Documents\DATA LINK LAYER EXTRACTION\archive\historical_outputs\2026-07-22_153950","MOVED"
"2026-07-22_162712","C:\Users\PBA96B\OneDrive - AdventHealth\Documents\DATA LINK LAYER EXTRACTION\output\2026-07-22_162712","C:\Users\PBA96B\OneDrive - AdventHealth\Documents\DATA LINK LAYER EXTRACTION\archive\historical_outputs\2026-07-22_162712","MOVED"
"2026-07-22_170741","C:\Users\PBA96B\OneDrive - AdventHealth\Documents\DATA LINK LAYER EXTRACTION\output\2026-07-22_170741","C:\Users\PBA96B\OneDrive - AdventHealth\Documents\DATA LINK LAYER EXTRACTION\archive\historical_outputs\2026-07-22_170741","MOVED"
"2026-07-22_172837","C:\Users\PBA96B\OneDrive - AdventHealth\Documents\DATA LINK LAYER EXTRACTION\output\2026-07-22_172837","C:\Users\PBA96B\OneDrive - AdventHealth\Documents\DATA LINK LAYER EXTRACTION\archive\historical_outputs\2026-07-22_172837","MOVED"
"2026-07-22_172902","C:\Users\PBA96B\OneDrive - AdventHealth\Documents\DATA LINK LAYER EXTRACTION\output\2026-07-22_172902","C:\Users\PBA96B\OneDrive - AdventHealth\Documents\DATA LINK LAYER EXTRACTION\archive\historical_outputs\2026-07-22_172902","MOVED"
"2026-07-22_173112","C:\Users\PBA96B\OneDrive - AdventHealth\Documents\DATA LINK LAYER EXTRACTION\output\2026-07-22_173112","C:\Users\PBA96B\OneDrive - AdventHealth\Documents\DATA LINK LAYER EXTRACTION\archive\historical_outputs\2026-07-22_173112","MOVED"
"2026-07-22_174058","C:\Users\PBA96B\OneDrive - AdventHealth\Documents\DATA LINK LAYER EXTRACTION\output\2026-07-22_174058","C:\Users\PBA96B\OneDrive - AdventHealth\Documents\DATA LINK LAYER EXTRACTION\archive\historical_outputs\2026-07-22_174058","MOVED"
"2026-07-22_180442","C:\Users\PBA96B\OneDrive - AdventHealth\Documents\DATA LINK LAYER EXTRACTION\output\2026-07-22_180442","C:\Users\PBA96B\OneDrive - AdventHealth\Documents\DATA LINK LAYER EXTRACTION\archive\historical_outputs\2026-07-22_180442","MOVED"
"2026-08-14_094137","C:\Users\PBA96B\OneDrive - AdventHealth\Documents\DATA LINK LAYER EXTRACTION\output\2026-08-14_094137","C:\Users\PBA96B\OneDrive - AdventHealth\Documents\DATA LINK LAYER EXTRACTION\archive\historical_outputs\2026-08-14_094137","MOVED"
"2026-08-14_100212","C:\Users\PBA96B\OneDrive - AdventHealth\Documents\DATA LINK LAYER EXTRACTION\output\2026-08-14_100212","C:\Users\PBA96B\OneDrive - AdventHealth\Documents\DATA LINK LAYER EXTRACTION\archive\historical_outputs\2026-08-14_100212","MOVED"
"2026-08-14_154057","C:\Users\PBA96B\OneDrive - AdventHealth\Documents\DATA LINK LAYER EXTRACTION\output\2026-08-14_154057","C:\Users\PBA96B\OneDrive - AdventHealth\Documents\DATA LINK LAYER EXTRACTION\archive\historical_outputs\2026-08-14_154057","MOVED"
"2026-08-14_163143","C:\Users\PBA96B\OneDrive - AdventHealth\Documents\DATA LINK LAYER EXTRACTION\output\2026-08-14_163143","C:\Users\PBA96B\OneDrive - AdventHealth\Documents\DATA LINK LAYER EXTRACTION\archive\historical_outputs\2026-08-14_163143","MOVED"
"2026-08-14_163435","C:\Users\PBA96B\OneDrive - AdventHealth\Documents\DATA LINK LAYER EXTRACTION\output\2026-08-14_163435","C:\Users\PBA96B\OneDrive - AdventHealth\Documents\DATA LINK LAYER EXTRACTION\archive\historical_outputs\2026-08-14_163435","MOVED"
"2026-08-14_174940","C:\Users\PBA96B\OneDrive - AdventHealth\Documents\DATA LINK LAYER EXTRACTION\output\2026-08-14_174940","C:\Users\PBA96B\OneDrive - AdventHealth\Documents\DATA LINK LAYER EXTRACTION\archive\historical_outputs\2026-08-14_174940","MOVED"
"2026-08-14_175014","C:\Users\PBA96B\OneDrive - AdventHealth\Documents\DATA LINK LAYER EXTRACTION\output\2026-08-14_175014","C:\Users\PBA96B\OneDrive - AdventHealth\Documents\DATA LINK LAYER EXTRACTION\archive\historical_outputs\2026-08-14_175014","MOVED"
"2026-08-14_175346","C:\Users\PBA96B\OneDrive - AdventHealth\Documents\DATA LINK LAYER EXTRACTION\output\2026-08-14_175346","C:\Users\PBA96B\OneDrive - AdventHealth\Documents\DATA LINK LAYER EXTRACTION\archive\historical_outputs\2026-08-14_175346","MOVED"
"2026-08-17_005725","C:\Users\PBA96B\OneDrive - AdventHealth\Documents\DATA LINK LAYER EXTRACTION\output\2026-08-17_005725","C:\Users\PBA96B\OneDrive - AdventHealth\Documents\DATA LINK LAYER EXTRACTION\archive\historical_outputs\2026-08-17_005725","MOVED"
"2026-08-17_012255","C:\Users\PBA96B\OneDrive - AdventHealth\Documents\DATA LINK LAYER EXTRACTION\output\2026-08-17_012255","C:\Users\PBA96B\OneDrive - AdventHealth\Documents\DATA LINK LAYER EXTRACTION\archive\historical_outputs\2026-08-17_012255","MOVED"
"2026-08-17_012508","C:\Users\PBA96B\OneDrive - AdventHealth\Documents\DATA LINK LAYER EXTRACTION\output\2026-08-17_012508","C:\Users\PBA96B\OneDrive - AdventHealth\Documents\DATA LINK LAYER EXTRACTION\archive\historical_outputs\2026-08-17_012508","MOVED"
