Workbook Sheet,Workbook Row,Metric,Level,Location Type,Location,Original Division,Final Division,Report Geography,Mapping Status,Confidence,Matched Evidence,Hierarchy Path
Learning,2,Internal Leader Fill Rate,0,Corporate,AdventHealth,N/A,N/A,N/A,UNRESOLVED_PRESERVED,low,N/A,AdventHealth
Learning,3,Internal Leader Fill Rate,1,Division,Corporate Services Division Cost Centers by Reporting Hierarchy,Corporate Services Division Cost Centers by Reporting Hierarchy,Corporate Services Division Cost Centers by Reporting Hierarchy,N/A,ORGANIZATIONAL_PARENT_CORPORATE_SERVICES,high,Corporate Services Division Cost Centers by Reporting Hierarchy,AdventHealth > Corporate Services Division Cost Centers by Reporting Hierarchy
Learning,4,Internal Leader Fill Rate,1,Division,Florida Division Cost Centers by Reporting Hierarchy,Florida Division Cost Centers by Reporting Hierarchy,Florida Division Cost Centers by Reporting Hierarchy,N/A,ORIGINAL_DIVISION_PRESERVED,low,Florida Division Cost Centers by Reporting Hierarchy,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy
Learning,5,Internal Leader Fill Rate,1,Division,Multistate Division Cost Centers by Reporting Hierarchy,Multistate Division Cost Centers by Reporting Hierarchy,Multistate Division Cost Centers by Reporting Hierarchy,N/A,ORIGINAL_DIVISION_PRESERVED,low,Multistate Division Cost Centers by Reporting Hierarchy,AdventHealth > Multistate Division Cost Centers by Reporting Hierarchy
Learning,6,Internal Leader Fill Rate,1,Division,Primary Health Division Cost Centers by Reporting Hierarchy,Primary Health Division Cost Centers by Reporting Hierarchy,PHD,N/A,ORGANIZATIONAL_PARENT_PHD,high,Primary Health Division Cost Centers by Reporting Hierarchy,AdventHealth > Primary Health Division Cost Centers by Reporting Hierarchy
Learning,7,Internal Leader Fill Rate,2,Region,AIT Cost Centers by Reporting Hierarchy,Corporate Services Division Cost Centers by Reporting Hierarchy,Corporate Services Division Cost Centers by Reporting Hierarchy,N/A,ORGANIZATIONAL_PARENT_CORPORATE_SERVICES,high,Corporate Services Division Cost Centers by Reporting Hierarchy,AdventHealth > Corporate Services Division Cost Centers by Reporting Hierarchy > AIT Cost Centers by Reporting Hierarchy
Learning,8,Internal Leader Fill Rate,2,Region,Central Florida Division Cost Centers by Reporting Hierarchy,Florida Division Cost Centers by Reporting Hierarchy,CFD,CFD,CONFIRMED_DIRECT_DIVISION,high,central florida division cost centers by reporting hierarchy,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > Central Florida Division Cost Centers by Reporting Hierarchy
Learning,9,Internal Leader Fill Rate,2,Region,East Florida Division Cost Centers by Reporting Hierarchy,Florida Division Cost Centers by Reporting Hierarchy,EFD,EFD,CONFIRMED_DIRECT_DIVISION,high,east florida division cost centers by reporting hierarchy,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > East Florida Division Cost Centers by Reporting Hierarchy
Learning,10,Internal Leader Fill Rate,2,Region,Great Lakes Region Cost Centers by Reporting Hierarchy,Multistate Division Cost Centers by Reporting Hierarchy,MSD 2,MSD 2,CONFIRMED_REGION_TO_DIVISION,high,Great Lakes Region Cost Centers by Reporting Hierarchy,AdventHealth > Multistate Division Cost Centers by Reporting Hierarchy > Great Lakes Region Cost Centers by Reporting Hierarchy
Learning,11,Internal Leader Fill Rate,2,Region,Home Office Cost Centers by Reporting Hierarchy,Corporate Services Division Cost Centers by Reporting Hierarchy,Corporate Services Division Cost Centers by Reporting Hierarchy,N/A,ORGANIZATIONAL_PARENT_CORPORATE_SERVICES,high,Corporate Services Division Cost Centers by Reporting Hierarchy,AdventHealth > Corporate Services Division Cost Centers by Reporting Hierarchy > Home Office Cost Centers by Reporting Hierarchy
Learning,12,Internal Leader Fill Rate,2,Region,Mid America Region Cost Centers by Reporting Hierarchy,Multistate Division Cost Centers by Reporting Hierarchy,MSD 2,MSD 2,CONFIRMED_REGION_TO_DIVISION,high,Mid America Region Cost Centers by Reporting Hierarchy,AdventHealth > Multistate Division Cost Centers by Reporting Hierarchy > Mid America Region Cost Centers by Reporting Hierarchy
Learning,13,Internal Leader Fill Rate,2,Region,Primary Health Cost Centers by Reporting Hierarchy,Primary Health Division Cost Centers by Reporting Hierarchy,PHD,N/A,ORGANIZATIONAL_PARENT_PHD,high,Primary Health Division Cost Centers by Reporting Hierarchy,AdventHealth > Primary Health Division Cost Centers by Reporting Hierarchy > Primary Health Cost Centers by Reporting Hierarchy
Learning,14,Internal Leader Fill Rate,2,Region,Rocky Mountain Region Cost Centers by Reporting Hierarchy,Multistate Division Cost Centers by Reporting Hierarchy,MSD 1,MSD 1,CONFIRMED_REGION_TO_DIVISION,high,Rocky Mountain Region Cost Centers by Reporting Hierarchy,AdventHealth > Multistate Division Cost Centers by Reporting Hierarchy > Rocky Mountain Region Cost Centers by Reporting Hierarchy
Learning,15,Internal Leader Fill Rate,2,Region,South East Region Cost Centers by Reporting Hierarchy,Multistate Division Cost Centers by Reporting Hierarchy,MSD 1,MSD 1,CONFIRMED_REGION_TO_DIVISION,high,South East Region Cost Centers by Reporting Hierarchy,AdventHealth > Multistate Division Cost Centers by Reporting Hierarchy > South East Region Cost Centers by Reporting Hierarchy
Learning,16,Internal Leader Fill Rate,2,Region,South West Region Cost Centers by Reporting Hierarchy,Multistate Division Cost Centers by Reporting Hierarchy,MSD 2,MSD 2,CONFIRMED_REGION_TO_DIVISION,high,South West Region Cost Centers by Reporting Hierarchy,AdventHealth > Multistate Division Cost Centers by Reporting Hierarchy > South West Region Cost Centers by Reporting Hierarchy
Learning,17,Internal Leader Fill Rate,2,Region,West Florida Division Cost Centers by Reporting Hierarchy,Florida Division Cost Centers by Reporting Hierarchy,WFD,WFD,CONFIRMED_DIRECT_DIVISION,high,west florida division cost centers by reporting hierarchy,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > West Florida Division Cost Centers by Reporting Hierarchy
Learning,18,Leader Effectiveness,0,Corporate,AdventHealth,N/A,N/A,N/A,UNRESOLVED_PRESERVED,low,N/A,AdventHealth
Learning,19,Leader Effectiveness,1,Division,Corporate Services Division Cost Centers by Reporting Hierarchy,Corporate Services Division Cost Centers by Reporting Hierarchy,Corporate Services Division Cost Centers by Reporting Hierarchy,N/A,ORGANIZATIONAL_PARENT_CORPORATE_SERVICES,high,Corporate Services Division Cost Centers by Reporting Hierarchy,AdventHealth > Corporate Services Division Cost Centers by Reporting Hierarchy
Learning,20,Leader Effectiveness,1,Division,Florida Division Cost Centers by Reporting Hierarchy,Florida Division Cost Centers by Reporting Hierarchy,Florida Division Cost Centers by Reporting Hierarchy,N/A,ORIGINAL_DIVISION_PRESERVED,low,Florida Division Cost Centers by Reporting Hierarchy,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy
Learning,21,Leader Effectiveness,1,Division,Multistate Division Cost Centers by Reporting Hierarchy,Multistate Division Cost Centers by Reporting Hierarchy,Multistate Division Cost Centers by Reporting Hierarchy,N/A,ORIGINAL_DIVISION_PRESERVED,low,Multistate Division Cost Centers by Reporting Hierarchy,AdventHealth > Multistate Division Cost Centers by Reporting Hierarchy
Learning,22,Leader Effectiveness,1,Division,Primary Health Division Cost Centers by Reporting Hierarchy,Primary Health Division Cost Centers by Reporting Hierarchy,PHD,N/A,ORGANIZATIONAL_PARENT_PHD,high,Primary Health Division Cost Centers by Reporting Hierarchy,AdventHealth > Primary Health Division Cost Centers by Reporting Hierarchy
