sheet,row,metric,level,location_type,location,real_division,rough_division,recommended_division,confidence,mapping_status,evidence,hierarchy_path,report_support,real_value,rough_value,goal,data_as_of,changed_fields
Learning,2,Internal Leader Fill Rate,0,Corporate,AdventHealth,N/A,N/A,N/A,low,UNRESOLVED_PRESERVED,,AdventHealth,Preserved or unresolved; no report-backed conversion.,75.1%,75.1%,N/A,Jul 2026,none
Learning,3,Internal Leader Fill Rate,1,Division,Corporate Services Division Cost Centers by Reporting Hierarchy,Corporate Services Division Cost Centers by Reporting Hierarchy,Corporate Services Division Cost Centers by Reporting Hierarchy,Corporate Services Division Cost Centers by Reporting Hierarchy,low,UNSUPPORTED_CORPORATE_SERVICES_PRESERVED,corporate services division cost centers by reporting hierarchy,AdventHealth > Corporate Services Division Cost Centers by Reporting Hierarchy,Preserved or unresolved; no report-backed conversion.,69.6%,69.6%,N/A,Jul 2026,none
Learning,4,Internal Leader Fill Rate,1,Division,Florida Division Cost Centers by Reporting Hierarchy,Florida Division Cost Centers by Reporting Hierarchy,Florida Division Cost Centers by Reporting Hierarchy,Florida Division Cost Centers by Reporting Hierarchy,low,ORIGINAL_DIVISION_PRESERVED,Florida Division Cost Centers by Reporting Hierarchy,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy,Preserved or unresolved; no report-backed conversion.,78.9%,78.9%,N/A,Jul 2026,none
Learning,5,Internal Leader Fill Rate,1,Division,Multistate Division Cost Centers by Reporting Hierarchy,Multistate Division Cost Centers by Reporting Hierarchy,Multistate Division Cost Centers by Reporting Hierarchy,Multistate Division Cost Centers by Reporting Hierarchy,low,ORIGINAL_DIVISION_PRESERVED,Multistate Division Cost Centers by Reporting Hierarchy,AdventHealth > Multistate Division Cost Centers by Reporting Hierarchy,Preserved or unresolved; no report-backed conversion.,72.3%,72.3%,N/A,Jul 2026,none
Learning,6,Internal Leader Fill Rate,1,Division,Primary Health Division Cost Centers by Reporting Hierarchy,Primary Health Division Cost Centers by Reporting Hierarchy,PHD,PHD,high,CONFIRMED_DIRECT_DIVISION,primary health division cost centers by reporting hierarchy,AdventHealth > Primary Health Division Cost Centers by Reporting Hierarchy,Canonical match to a division heading in the June report,58.4%,58.4%,N/A,Jul 2026,Division
Learning,7,Internal Leader Fill Rate,2,Region,AIT Cost Centers by Reporting Hierarchy,Corporate Services Division Cost Centers by Reporting Hierarchy,Corporate Services Division Cost Centers by Reporting Hierarchy,Corporate Services Division Cost Centers by Reporting Hierarchy,low,UNSUPPORTED_CORPORATE_SERVICES_PRESERVED,corporate services division cost centers by reporting hierarchy,AdventHealth > Corporate Services Division Cost Centers by Reporting Hierarchy > AIT Cost Centers by Reporting Hierarchy,Preserved or unresolved; no report-backed conversion.,76.8%,76.8%,N/A,Jul 2026,none
Learning,8,Internal Leader Fill Rate,2,Region,Central Florida Division Cost Centers by Reporting Hierarchy,Florida Division Cost Centers by Reporting Hierarchy,CFD,CFD,high,CONFIRMED_DIRECT_DIVISION,central florida division cost centers by reporting hierarchy,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > Central Florida Division Cost Centers by Reporting Hierarchy,Canonical match to a division heading in the June report,83.0%,83.0%,N/A,Jul 2026,Division
Learning,9,Internal Leader Fill Rate,2,Region,East Florida Division Cost Centers by Reporting Hierarchy,Florida Division Cost Centers by Reporting Hierarchy,EFD,EFD,high,CONFIRMED_DIRECT_DIVISION,east florida division cost centers by reporting hierarchy,AdventHealth > Florida Division Cost Centers by Reporting Hierarchy > East Florida Division Cost Centers by Reporting Hierarchy,Canonical match to a division heading in the June report,77.3%,77.3%,N/A,Jul 2026,Division
Learning,10,Internal Leader Fill Rate,2,Region,Great Lakes Region Cost Centers by Reporting Hierarchy,Multistate Division Cost Centers by Reporting Hierarchy,MSD 2,MSD 2,high,CONFIRMED_REGION_TO_DIVISION,Great Lakes Region Cost Centers by Reporting Hierarchy,AdventHealth > Multistate Division Cost Centers by Reporting Hierarchy > Great Lakes Region Cost Centers by Reporting Hierarchy,Canonical match to a region grouping in the June report,66.3%,66.3%,N/A,Jul 2026,Division
Learning,11,Internal Leader Fill Rate,2,Region,Home Office Cost Centers by Reporting Hierarchy,Corporate Services Division Cost Centers by Reporting Hierarchy,Corporate Services Division Cost Centers by Reporting Hierarchy,Corporate Services Division Cost Centers by Reporting Hierarchy,low,UNSUPPORTED_CORPORATE_SERVICES_PRESERVED,corporate services division cost centers by reporting hierarchy,AdventHealth > Corporate Services Division Cost Centers by Reporting Hierarchy > Home Office Cost Centers by Reporting Hierarchy,Preserved or unresolved; no report-backed conversion.,68.1%,68.1%,N/A,Jul 2026,none
Learning,12,Internal Leader Fill Rate,2,Region,Mid America Region Cost Centers by Reporting Hierarchy,Multistate Division Cost Centers by Reporting Hierarchy,MSD 2,MSD 2,high,CONFIRMED_REGION_TO_DIVISION,Mid America Region Cost Centers by Reporting Hierarchy,AdventHealth > Multistate Division Cost Centers by Reporting Hierarchy > Mid America Region Cost Centers by Reporting Hierarchy,Canonical match to a region grouping in the June report,65.1%,65.1%,N/A,Jul 2026,Division
Learning,13,Internal Leader Fill Rate,2,Region,Primary Health Cost Centers by Reporting Hierarchy,Primary Health Division Cost Centers by Reporting Hierarchy,PHD,PHD,high,CONFIRMED_DIRECT_DIVISION,primary health cost centers by reporting hierarchy,AdventHealth > Primary Health Division Cost Centers by Reporting Hierarchy > Primary Health Cost Centers by Reporting Hierarchy,Canonical match to a division heading in the June report,58.4%,58.4%,N/A,Jul 2026,Division
Learning,14,Internal Leader Fill Rate,2,Region,Rocky Mountain Region Cost Centers by Reporting Hierarchy,Multistate Division Cost Centers by Reporting Hierarchy,MSD 1,MSD 1,high,CONFIRMED_REGION_TO_DIVISION,Rocky Mountain Region Cost Centers by Reporting Hierarchy,AdventHealth > Multistate Division Cost Centers by Reporting Hierarchy > Rocky Mountain Region Cost Centers by Reporting Hierarchy,Canonical match to a region grouping in the June report,71.8%,71.8%,N/A,Jul 2026,Division
