Row ID,Business Area,Metric,Matched Division,Source Division,Location Type,Location,Original Division,Report Geography,Mapping Status,Mapping Confidence,Mapping Evidence,Value,Local Goal,Derived Goal Status,Status Basis,Source Variance,Source Variance Color,YTD,Data As Of
SUMMARY::2,Learning,Internal Leader Fill Rate,SYS,SYS,Corporate,AdventHealth,SYS,N/A,N/A,N/A,N/A,75.1%,N/A,unavailable,No comparable numeric goal in the workbook,N/A,gray,N/A,Jul 2026
SUMMARY::3,Learning,Leader Effectiveness (Facility Leadership),SYS,SYS,Corporate,AdventHealth,SYS,N/A,N/A,N/A,N/A,85.8,≥ 81,met,Calculated from the displayed value and this scope's local goal,0.1%,green,N/A,Mar 2026
SUMMARY::4,Learning,Opportunity to Learn and Grow,SYS,SYS,Corporate,AdventHealth,SYS,N/A,N/A,N/A,N/A,81,≥ 79,met,Calculated from the displayed value and this scope's local goal,0.03%,green,N/A,Mar 2026
SUMMARY::5,Team,Forecast and Hire,SYS,SYS,Corporate,AdventHealth,SYS,N/A,N/A,N/A,N/A,"14,683","≥ 12,176",met,Calculated from the displayed value and this scope's local goal,-0%,red,N/A,Jul 2026
SUMMARY::6,Team,Team Member Engagement,SYS,SYS,Corporate,AdventHealth,SYS,N/A,N/A,N/A,N/A,82,≥ 81,met,Calculated from the displayed value and this scope's local goal,0.01%,green,N/A,Mar 2026
SUMMARY::7,Team,Total Turnover,SYS,SYS,Corporate,AdventHealth,SYS,N/A,N/A,N/A,N/A,16.9%,≤ 17.3%,met,Calculated from the displayed value and this scope's local goal,0.4%,green,N/A,Jul 2026
SUMMARY::8,Team,Physician Engagement,SYS,SYS,Corporate,AdventHealth,SYS,N/A,N/A,N/A,N/A,66,≥ 75,missed,Calculated from the displayed value and this scope's local goal,-12%,red,N/A,2024
SUMMARY::9,Consumer,Digital Tool Utilization,SYS,SYS,Corporate,AdventHealth,SYS,N/A,N/A,N/A,N/A,3.2M,≥ 3.6M,missed,Calculated from the displayed value and this scope's local goal,-9.9%,red,N/A,Jun 2026
SUMMARY::10,Consumer,Patient Experience – ED LTR,SYS,SYS,Corporate,AdventHealth,SYS,N/A,N/A,N/A,N/A,68,≥ 75,missed,Calculated from the displayed value and this scope's local goal,-9%,red,69,Jun 2026
SUMMARY::11,Consumer,Patient Experience – Inpatient LTR,SYS,SYS,Corporate,AdventHealth,SYS,N/A,N/A,N/A,N/A,63,≥ 75,missed,Calculated from the displayed value and this scope's local goal,-16.0%,red,62,Jun 2026
